user,password,localidad,edad,musica,comida,peliculas,videojuegos,politica,deportes,mascotas,libros,tecnologia,memes
Faiza,password123,Pasco,22,0,0,1,0,0,0,1,1,0,1
Fahad Rehman,password123,Áncash,28,1,1,1,0,0,1,1,0,1,0
Rosihin Noor,password123,Áncash,23,0,1,1,0,1,0,0,1,1,0
Savannah,password123,La Libertad,26,1,0,1,1,0,1,0,1,1,1
Katty,password123,La Libertad,26,0,0,0,0,0,0,1,0,1,0
Casper,password123,San Martín,27,1,1,0,0,1,1,0,1,1,0
Martina,password123,Callao,36,1,1,0,0,0,0,0,1,1,1
Alberto,password123,Ayacucho,20,0,1,1,0,0,1,1,1,1,0
Tilly,password123,Huancavelica,26,0,0,0,1,0,0,0,1,1,0
Kacie,password123,Arequipa,26,0,0,0,1,0,1,1,1,0,1
Zobiya,password123,Tumbes,18,1,1,0,1,0,1,1,0,0,1
Janice,password123,Huánuco,32,1,0,0,1,1,1,1,0,1,1
Riaz Ansari,password123,Lambayeque,37,0,1,1,0,0,0,0,0,1,1
Mohamed Ihsan,password123,Ayacucho,36,1,1,0,0,0,1,0,1,0,1
Louisa,password123,Callao,32,0,1,1,1,1,0,1,1,1,0
Tamala,password123,Huánuco,38,1,0,0,1,0,0,0,1,0,1
Ethan,password123,Huánuco,27,1,0,1,1,0,0,1,0,1,0
Jayden,password123,Áncash,18,1,1,1,1,0,1,1,0,0,0
Seren,password123,Cuzco,22,0,1,0,1,0,0,1,0,1,0
Teddy,password123,Apurímac,40,1,1,1,0,1,1,1,0,1,0
Junaid,password123,Moquegua,21,1,0,0,0,1,1,0,1,1,1
Danish Saifullah,password123,Huancavelica,34,1,1,1,0,0,1,1,1,0,0
Ahmed Shahzad,password123,Moquegua,33,1,0,0,0,0,1,0,1,0,0
Hamdaan,password123,Callao,24,1,1,0,0,0,1,0,1,1,0
Francessca,password123,Cajamarca,36,1,1,0,0,1,1,1,0,0,0
Leona,password123,La Libertad,37,0,0,1,0,1,1,0,0,1,1
Izaan,password123,Huánuco,32,0,1,0,0,1,1,1,1,0,1
Arbab,password123,Huánuco,37,0,1,1,0,0,1,1,0,0,1
Tasawar,password123,La Libertad,25,1,0,1,1,0,1,0,1,1,0
Finley,password123,La Libertad,34,1,0,1,1,1,0,1,1,1,0
Spencer,password123,Apurímac,40,0,1,1,0,0,1,0,0,1,0
Alliya,password123,Ica,32,1,0,0,0,0,1,0,1,0,1
Faye,password123,Moquegua,35,0,0,1,0,0,1,1,0,0,0
Zafar,password123,Cuzco,26,1,1,0,0,1,0,1,1,1,0
Rebbeca,password123,Pasco,35,0,0,0,1,0,1,1,0,1,1
Tanveer,password123,Pasco,24,0,1,0,0,0,0,1,1,1,1
Martha,password123,Lambayeque,27,0,1,1,0,0,0,0,1,0,0
Lily,password123,Tumbes,40,0,0,1,1,0,1,0,1,0,1
Leika,password123,La Libertad,38,0,1,1,1,0,1,0,0,1,1
Zubaila,password123,Lima,19,1,1,0,1,1,1,0,0,0,1
Urwah,password123,Amazonas,38,1,1,0,0,1,1,0,1,0,0
Achmad Hasan,password123,La Libertad,38,0,0,0,0,0,1,1,1,1,1
Aslam,password123,Pasco,31,1,1,1,1,0,0,0,1,1,1
Alexia,password123,Cajamarca,38,1,0,1,0,1,1,0,1,0,0
Agus Ahmad,password123,Ucayali,31,0,1,1,0,0,0,0,0,1,1
Stefen,password123,Lambayeque,26,0,0,0,0,1,0,1,1,0,0
Nuala,password123,Tumbes,35,0,1,0,0,1,0,1,0,1,0
Mehtab Shafiq,password123,Arequipa,24,1,0,0,0,1,0,1,0,1,0
Shakaib Butt,password123,Cajamarca,22,1,0,0,1,1,1,1,0,1,1
Cole,password123,La Libertad,31,0,0,1,0,1,0,0,0,0,0
Bakhtawar,password123,Ica,24,1,0,0,0,0,0,0,0,1,1
Abdul Salam Khan,password123,Amazonas,23,1,0,1,1,1,0,1,1,0,1
Theodore,password123,Tumbes,31,1,0,1,1,0,0,1,1,1,0
Ernie,password123,Amazonas,31,1,1,0,0,0,1,1,1,1,1
Saif,password123,Moquegua,33,0,1,0,1,0,0,0,1,1,0
Blake,password123,Huánuco,21,0,1,0,0,1,1,0,0,0,1
Asifa,password123,Áncash,36,0,0,1,1,0,1,0,1,0,0
Abdul Rauf,password123,La Libertad,19,1,0,1,1,0,1,0,0,1,0
Emilio,password123,Lima,29,0,0,0,0,0,1,1,1,1,0
Malik Farooq,password123,Puno,23,1,1,0,1,1,0,1,0,0,0
Ashiq Balooch,password123,Arequipa,32,1,1,0,0,1,0,1,1,0,1
Akash Parkash,password123,Lambayeque,33,1,0,0,1,1,1,0,0,1,0
Anaya,password123,Arequipa,26,0,1,1,0,1,1,0,0,1,1
Shan Rao,password123,Callao,23,0,1,0,0,1,0,1,0,0,1
Isaac,password123,Pasco,29,0,0,1,1,1,1,1,1,0,1
Michiko,password123,Tumbes,38,1,0,1,1,1,0,0,1,1,1
Fajar,password123,Piura,21,0,0,0,0,0,1,0,0,0,0
Sleem Savi,password123,Tumbes,34,0,0,1,1,0,1,0,1,1,1
Gohar Ahmed Zai,password123,Lambayeque,19,0,0,0,1,0,0,1,1,1,1
Laurance,password123,Apurímac,31,1,0,0,1,0,0,0,0,1,1
Ashwariya,password123,Huancavelica,21,1,0,1,1,1,0,0,1,0,0
Umtiti,password123,Ica,28,1,0,1,0,1,1,0,0,0,1
Yasir Mehmood,password123,Madre de Dios,33,0,1,1,0,1,1,0,0,1,0
Heri Golun,password123,Moquegua,39,0,0,0,0,1,0,0,0,0,0
Usman bin Sef,password123,Apurímac,24,0,0,1,1,0,1,0,1,0,1
Andrew,password123,Amazonas,27,0,0,1,1,1,0,0,0,1,0
Ahsan,password123,Arequipa,31,0,1,1,1,0,0,0,0,0,1
Sardar Aquib,password123,Tumbes,22,1,1,1,0,0,1,1,1,0,0
David,password123,Cajamarca,38,0,0,1,0,1,1,1,0,0,1
Antony,password123,Amazonas,35,1,0,0,1,0,1,0,0,0,0
Muzammil,password123,Apurímac,27,1,1,1,0,0,0,0,1,0,1
Keirra,password123,Cuzco,34,1,0,0,0,1,0,1,0,1,1
Ayesha,password123,Áncash,24,0,1,1,0,1,1,1,0,1,0
Jabar,password123,San Martín,25,0,1,0,0,0,1,1,1,0,1
Hasnain,password123,San Martín,33,1,1,1,1,1,0,0,0,1,0
Tahir Qadri,password123,La Libertad,23,0,1,1,1,0,1,1,0,1,0
Jude,password123,Tacna,38,0,1,0,1,0,1,1,1,0,0
Courtney,password123,Ica,35,1,0,0,0,1,1,0,1,0,1
Lara,password123,San Martín,22,0,1,0,0,0,1,0,0,0,0
Hambali,password123,Tumbes,33,0,0,1,0,1,1,1,1,0,1
Henry,password123,Loreto,35,0,1,1,1,0,0,1,1,0,0
Maddison,password123,Huánuco,29,0,0,0,1,1,0,0,1,0,0
Corey,password123,Lambayeque,39,0,1,1,0,1,1,0,0,1,1
Huma,password123,Ayacucho,26,0,1,1,0,1,1,1,0,0,0
Sajid Khan,password123,Pasco,31,1,0,1,1,1,1,1,0,0,1
Cai,password123,Puno,35,1,0,1,1,0,0,1,0,0,0
Quratulain,password123,Apurímac,28,0,0,1,0,1,0,0,1,1,0
Mollie,password123,Ayacucho,18,1,1,1,0,1,0,0,0,1,1
Declan,password123,Madre de Dios,33,1,0,1,0,0,1,1,1,1,1
Frieda,password123,Madre de Dios,30,0,1,1,1,1,0,1,0,0,1
Adeela,password123,Ayacucho,19,0,1,0,1,1,0,1,0,1,1
Millie,password123,Lima,29,1,1,1,1,0,0,1,1,1,0
Ada,password123,Tacna,40,1,1,0,0,0,1,0,1,1,0
Ratchel,password123,Loreto,23,1,0,0,1,0,0,0,1,1,1
Shamsha Zain,password123,Moquegua,32,1,1,1,1,0,1,1,1,0,0
Johanssan,password123,Huancavelica,18,0,1,0,0,0,0,0,0,0,0
Helena,password123,Amazonas,23,1,1,0,0,0,0,1,0,1,0
Awais,password123,San Martín,27,0,1,1,1,0,0,0,1,1,0
Jhangir Masood,password123,Lambayeque,37,1,0,1,0,0,1,1,0,1,1
Syed Muhammad Shah,password123,Lambayeque,28,1,1,0,0,0,0,0,1,1,0
Elizabeth,password123,Ucayali,25,1,0,0,1,1,0,0,1,0,1
Aimee,password123,Apurímac,19,1,1,1,1,1,0,0,1,0,1
Aakash,password123,Tacna,29,1,0,1,0,1,0,1,0,0,1
Walayat Hussain Baloch,password123,Ucayali,33,0,0,0,1,0,0,0,0,0,1
Rafferty,password123,Lima,19,0,1,1,1,1,1,1,0,1,0
Asmar Latin Sani,password123,Lambayeque,18,1,1,1,0,1,0,1,0,0,0
Daniel,password123,San Martín,37,0,1,0,1,0,1,1,0,1,0
Jake,password123,Pasco,30,0,0,1,0,0,1,1,1,1,0
Hibah,password123,Ucayali,30,1,0,1,0,0,1,1,1,1,1
Talha Arshad,password123,Moquegua,33,0,1,1,0,1,0,1,0,0,0
Julia,password123,Cajamarca,19,0,1,1,0,1,1,1,0,1,1
Rohail,password123,Apurímac,26,0,0,0,0,0,0,0,1,1,1
Omair Hassan,password123,Huánuco,28,0,1,0,1,1,0,0,0,0,0
Ajengan Masduki,password123,Moquegua,24,1,0,1,0,1,1,0,0,1,0
Noor,password123,Junín,23,1,1,0,0,0,0,1,0,0,1
Zahid,password123,Callao,31,0,1,1,0,0,1,1,0,0,1
Zachary,password123,Cajamarca,26,1,0,1,0,0,0,1,1,0,1
Shayan Ali,password123,Áncash,21,1,0,0,1,1,1,1,0,1,0
Shemeka,password123,Cajamarca,40,0,1,0,1,1,1,0,0,0,1
Ashton,password123,Cuzco,36,1,1,1,0,0,0,0,0,1,0
Aiden,password123,Huánuco,31,1,1,1,0,1,1,1,0,1,1
Trump,password123,Junín,31,1,1,0,1,1,1,1,0,1,1
Priya,password123,Tumbes,19,0,1,0,0,0,0,0,0,0,0
Usman Ahmed,password123,Callao,23,1,1,0,0,1,0,0,1,0,0
Ijaz Ahmed,password123,Junín,22,1,0,1,0,1,1,0,0,1,1
Tristan,password123,Lima,38,1,1,0,1,1,0,0,0,1,1
Indiana Jones,password123,Ucayali,23,1,0,1,0,0,1,1,1,1,1
Muzayin Abdul Wahab,password123,Cuzco,25,0,0,0,0,1,0,0,1,1,1
Kawish,password123,Áncash,23,0,0,1,1,0,1,1,0,1,1
Ladla Gee,password123,Cuzco,36,1,0,1,1,1,1,0,1,0,0
Khubain Ahsan,password123,Ayacucho,35,1,1,0,0,1,1,0,0,0,0
Leah,password123,Callao,23,0,1,0,1,0,1,1,1,1,0
Rawail,password123,Tacna,21,1,1,1,0,0,0,1,1,0,0
Maise,password123,Apurímac,24,1,0,1,1,0,1,1,1,0,0
Erik,password123,Callao,34,0,0,0,0,0,0,1,0,0,0
Lyla,password123,Áncash,40,1,0,1,1,0,0,0,1,1,0
Quinn,password123,Piura,28,0,1,0,1,1,1,1,0,0,1
Teistan,password123,Lima,22,0,0,0,0,1,1,0,0,0,1
Arisha,password123,Callao,37,0,1,0,1,1,1,0,1,0,0
Zubair Sial,password123,Tacna,23,1,1,0,1,1,1,0,0,0,0
Mohsin,password123,Tumbes,30,0,1,1,1,0,0,1,1,1,0
Qudsia,password123,Lambayeque,37,1,0,1,1,1,0,0,0,0,0
Uzair,password123,Lambayeque,39,0,1,0,0,1,0,0,0,1,1
Eihanna,password123,Puno,40,0,0,0,0,0,1,0,0,0,1
Khawaja TK Khan,password123,Callao,28,0,1,1,1,0,0,0,0,1,0
Haris,password123,Moquegua,21,1,0,1,0,0,1,0,0,1,0
Reema,password123,San Martín,34,1,1,0,0,0,0,0,1,0,1
Muhammad Rasheed,password123,Áncash,31,1,1,1,0,1,0,1,1,1,1
Imam Bukhori,password123,Callao,36,1,1,0,0,0,0,0,1,1,0
Betsy,password123,Amazonas,25,1,1,0,1,1,1,0,1,1,0
Shahnawaz,password123,Cuzco,34,0,0,0,0,1,1,1,1,1,0
Anees,password123,Huancavelica,26,0,1,0,0,1,1,0,0,0,1
Ayyan,password123,Lima,22,0,0,1,0,1,0,1,0,1,0
Apuy,password123,Cuzco,32,1,0,1,1,0,1,0,0,0,0
Abbie,password123,La Libertad,36,0,1,1,1,0,1,1,1,1,1
Isco,password123,Pasco,33,1,1,0,1,1,0,0,0,1,0
Augustina,password123,Puno,36,1,1,1,1,0,1,0,0,1,1
Haseeb Ali,password123,San Martín,37,1,0,1,1,0,1,0,1,0,1
Asep Jaja,password123,Áncash,37,1,1,1,0,0,0,1,0,0,0
Caleb,password123,Amazonas,26,0,0,1,0,0,0,1,1,1,1
Caelan,password123,Piura,24,0,1,0,0,0,0,0,0,0,1
Carlos,password123,Amazonas,31,1,1,0,0,0,1,1,1,0,1
Neha Ch,password123,Apurímac,22,0,1,0,1,0,0,1,0,0,0
Jonah,password123,La Libertad,40,0,0,1,0,1,0,0,0,0,0
Illa,password123,Arequipa,29,1,1,0,1,1,1,1,0,1,1
Shujahat,password123,San Martín,23,1,0,1,0,0,0,0,0,1,1
Chirag Latif,password123,Cuzco,36,0,0,1,1,1,0,1,0,1,0
Saqib Butt,password123,Pasco,22,1,0,0,0,1,0,0,0,0,1
Azhari Husin,password123,San Martín,24,0,0,1,0,0,0,1,0,0,0
Lacie,password123,Cuzco,36,0,0,0,0,0,1,1,0,1,1
Rehman,password123,Tacna,35,1,0,0,0,1,0,1,0,0,0
Abid,password123,La Libertad,25,0,0,0,1,0,1,1,1,0,1
Hamza Mehar,password123,Arequipa,35,0,1,0,0,0,1,1,1,1,1
Mukhtar Ahmed,password123,Apurímac,36,1,0,1,0,1,1,1,0,1,1
Nabeel Ahmed,password123,Lima,33,1,1,0,1,1,0,1,1,1,1
Barashna Yawar,password123,Piura,40,0,1,1,0,1,0,0,1,1,0
Alvaro,password123,Arequipa,35,1,0,1,1,0,1,1,1,1,0
Mansoor Jhangir,password123,Ayacucho,31,1,0,1,1,0,1,1,1,1,0
Aisha,password123,Loreto,25,1,0,1,0,1,1,1,0,0,1
Livia,password123,Cajamarca,35,0,0,1,0,1,1,1,1,0,1
Dana,password123,Áncash,20,1,0,0,1,1,1,1,1,0,1
Malik Belawal,password123,Loreto,30,0,0,0,0,0,1,1,1,1,0
Scarlet,password123,Ayacucho,28,0,1,0,1,0,1,0,1,1,0
Zain,password123,Cuzco,29,0,0,1,0,1,0,1,1,1,0
Abdullah Abid,password123,Lambayeque,34,0,0,0,0,1,1,0,1,0,1
Gul Khan,password123,Moquegua,36,0,0,0,0,1,1,1,1,1,0
Hence Malewa,password123,San Martín,38,0,0,0,0,0,0,1,1,1,0
Abdul Hanan,password123,Apurímac,20,0,1,1,1,1,0,0,1,1,1
Ranjeet Punshi,password123,Lima,36,1,1,0,0,0,0,0,0,1,1
Sarah Batool,password123,Ucayali,19,0,0,0,1,1,1,0,1,0,0
Logan,password123,Pasco,39,1,1,0,1,0,0,1,1,0,1
Mesum Ammar,password123,Lambayeque,19,0,1,1,0,1,0,1,1,0,0
Abdullah Sunata,password123,Tumbes,22,0,0,1,0,1,1,0,0,0,0
Haseeb,password123,Huánuco,32,1,1,0,0,0,0,0,1,1,1
Conor,password123,Áncash,23,0,1,0,1,0,0,1,1,0,1
Levi,password123,Puno,25,1,0,0,0,0,1,0,0,0,0
Zubaida,password123,Tacna,23,0,1,0,1,1,1,1,1,0,1
Hussain,password123,Arequipa,29,0,1,0,0,1,0,0,1,0,0
Muchtar,password123,Huánuco,24,0,1,0,1,1,1,0,0,0,1
Aaron,password123,Cuzco,18,0,0,0,1,1,0,0,1,1,1
Kiran,password123,Amazonas,27,1,1,1,1,1,0,0,0,1,0
Areesha,password123,Huánuco,39,0,0,1,1,1,1,0,1,0,0
Rameesha,password123,Arequipa,23,0,0,0,1,1,0,0,1,0,0
Rose,password123,Puno,37,1,1,0,0,1,0,1,1,1,1
Qudratullah,password123,Huánuco,22,0,1,0,0,0,0,1,1,1,0
Atif Noor,password123,Lima,29,0,1,1,0,0,1,0,1,1,1
Brooke,password123,Piura,32,1,1,0,1,1,0,0,0,0,0
Mathew Perry,password123,Pasco,40,0,0,1,0,1,0,0,0,1,0
Rabi Akbar,password123,Puno,34,0,1,1,0,0,0,1,0,0,1
Elenia,password123,Ucayali,22,1,0,0,1,1,0,0,0,1,1
Muhammad Arslan,password123,Huánuco,39,1,0,1,0,0,1,1,1,0,0
Malik Tayyab,password123,Cajamarca,24,1,1,0,1,1,1,0,1,0,1
Zidane,password123,Moquegua,38,1,0,1,1,1,0,1,1,1,1
Kaiden,password123,Cajamarca,33,1,0,1,1,1,1,1,0,0,0
Hasnat Ahmed Khan,password123,Lambayeque,40,1,0,1,0,0,0,0,0,1,1
Darcey,password123,Callao,38,1,0,0,0,1,1,0,0,1,1
Anthony,password123,Piura,33,0,1,0,1,0,1,0,1,0,0
Adung,password123,Ica,35,0,1,1,0,0,0,0,1,1,0
Harrison,password123,La Libertad,26,0,1,0,1,1,0,0,1,1,0
Khizaer Hayat,password123,Junín,37,1,0,0,1,1,0,0,1,0,0
Hassan Sadiq,password123,Junín,21,1,1,1,1,1,0,0,1,1,1
Caitlin,password123,Puno,36,0,0,1,0,0,1,0,1,0,0
Fizza Malik,password123,Cuzco,28,0,1,0,0,1,1,0,1,1,0
Muhammad Irfan,password123,Lambayeque,29,0,1,0,0,1,1,0,1,1,1
Muhammad Atif,password123,Puno,36,1,1,1,1,0,1,0,0,0,1
Aurangzaib,password123,Ayacucho,34,1,1,1,0,0,1,1,0,0,1
Tehmina,password123,Puno,40,1,1,0,1,0,1,0,1,1,0
Happy Bacha,password123,Callao,35,0,0,0,1,0,1,0,0,0,1
Younus,password123,Callao,26,0,0,1,1,1,1,0,0,0,1
AVA,password123,Áncash,25,1,1,0,0,1,1,1,1,1,0
Alfred,password123,Loreto,40,0,1,0,0,0,0,1,1,0,0
Danish,password123,Moquegua,24,0,0,1,1,1,0,0,0,0,1
Matloob,password123,Ayacucho,24,0,1,1,1,0,1,1,0,1,1
Sameed Shahzad,password123,Ucayali,36,0,0,0,0,0,1,1,0,1,0
Frazer,password123,Arequipa,35,0,1,1,0,0,1,0,1,0,0
Mubashir,password123,Ayacucho,25,1,0,1,1,1,0,1,1,0,0
